Dialogue_ID,Utterance,true_emotion,Predicted_Emotion,window_size
0,Why do all you’re coffee mugs have numbers on the bottom?,surprise,surprise,1
0,"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger,joy,1
0,Y'know what?,neutral,neutral,1
1,"Come on, Lydia, you can do it.",neutral,joy,1
1,Push!,joy,joy,1
1,"Push 'em out, push 'em out, harder, harder.",joy,neutral,1
1,"Push 'em out, push 'em out, way out!",joy,joy,1
1,"Let's get that ball and really move, hey, hey, ho, ho.",joy,joy,1
1,"Let's—  I was just—yeah, right.",joy,joy,1
1,Push!,joy,joy,1
1,Push!,joy,joy,1
2,Okay.,neutral,neutral,1
2,"Ross, didn't you say that there was an elevator in here?",neutral,neutral,1
2,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,neutral,1
2,"Okay, go left. Left! Left!",surprise,surprise,1
2,"Okay, y'know what? There is no more left, left!",anger,neutral,1
2,"Oh okay, lift it straight up over your head!",anger,surprise,1
2,Straight up over your head!,anger,joy,1
2,You can do it!,joy,joy,1
2,You can do it!,joy,joy,1
2,Okay.,neutral,neutral,1
2,You got it?,neutral,neutral,1
3,"Oh, okay, I get it.",neutral,surprise,1
3,"No wait, look. Look! I'm sorry, it's just I've never even",fear,neutral,1
3,Howard's the,neutral,neutral,1
3,"Yes but too me he's just, man.",neutral,neutral,1
3,"Okay, fine, whatever. Welcome to the building.",anger,anger,1
3,"Ugh, can you believe that guy!",disgust,surprise,1
3,Yeah. I really like his glasses.,neutral,neutral,1
4,Ohh!,surprise,joy,1
4,What?,neutral,surprise,1
4,It kicked! I think the baby kicked!,surprise,disgust,1
4,Oh my God!,surprise,fear,1
4,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,disgust,1
4,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,disgust,1
4,"Oh wait, Joey, you can’t go like that! You stink!",disgust,fear,1
4,"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,surprise,1
4,"They’re just ten blocks away, if I run, I can make it.",neutral,surprise,1
5,You’re coming on to the entire room!  I’m Chandler.,anger,neutral,1
5,Hi.,neutral,neutral,1
5,Hi.,neutral,neutral,1
5,You mind if I,neutral,neutral,1
5,"No, please.",neutral,neutral,1
5,"So uh, what are you in for?",neutral,surprise,1
5,I talk in my sleep.,neutral,joy,1
5,"What a coincidence, I listen in my sleep.",neutral,surprise,1
5,So why don’t you give me your number?,neutral,neutral,1
6,Previously on Friends.,neutral,surprise,1
6,I don’t know exactly. It’s-it’s sorta like wrestling.,neutral,neutral,1
6,Oh?!,surprise,surprise,1
7,"Yeah, but without the costumes.",neutral,neutral,1
7,Oh.,neutral,neutral,1
7,"And it’s not fake, it’s totally brutal.",neutral,surprise,1
7,"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,neutral,1
7,"So you can like, bite, and pull people’s hair and stuff?",surprise,neutral,1
7,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,surprise,1
7,What’s fish hooking?,surprise,neutral,1
7,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,neutral,1
7,"What? My hands are totally clean, I just gave the duck a bath.",neutral,disgust,1
8,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,surprise,1
8,"Well, that makes me feel so good.",joy,neutral,1
8,It was just so awkward and bumpy.,neutral,neutral,1
8,Bumpy?,surprise,sadness,1
8,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,joy,1
8,And uh maybe you have to get used to it.,neutral,joy,1
8,"Well there really wasn't much time to get used to it, you know what I mean?",joy,neutral,1
9,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,anger,1
9,"Oh well, it’s not so bad.",neutral,sadness,1
9,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,neutral,1
9,Oh!,surprise,surprise,1
9,My God!,surprise,neutral,1
9,"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,neutral,1
9,Excuse me?,surprise,surprise,1
9,Joey! He’s working!  You would look,anger,neutral,1
9,"Oh, how bad is it?",sadness,neutral,1
9,"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,surprise,1
9,How’s your room Rach?,neutral,surprise,1
9,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,neutral,1
9,Isn’t that mine?,neutral,surprise,1
9,Fine! I’m sorry for your loss!,anger,neutral,1
9,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,disgust,1
9,"Wow! Oh-okay, look pal, I am",joy,disgust,1
9,"Yes, they can stay with us.",neutral,sadness,1
9,Have you figured out what started the fire Mr. Fireman?,neutral,sadness,1
10,There’s just so much pressure.,anger,sadness,1
10,"I mean no offense, but what you guys do is very different.",neutral,neutral,1
10,I don’t know if you’d understand.,neutral,neutral,1
10,"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,1
11,"Well Phoebe, we gotta do something!",sadness,neutral,1
11,I mean there’s no way Joey’s gonna make it in time.,fear,neutral,1
11,So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral,fear,1
11,Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral,sadness,1
11,Okay.,neutral,neutral,1
12,"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,neutral,1
12,"Ross, we can handle this.",neutral,neutral,1
12,"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,neutral,1
12,"I mean, enough of the silliness!",anger,joy,1
12,"Well, why don’t you tell her to stop being silly!",anger,neutral,1
12,Okay-okay!,anger,joy,1
12,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,joy,1
12,Do you really want to throw that all away over a room?,sadness,surprise,1
12,That is so silly.,joy,neutral,1
12,"Now wh-what is more important, love or silliness?",neutral,sadness,1
12,"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,anger,1
12,Love is the best medicine.,joy,anger,1
12,That’s laughter.,joy,joy,1
12,Why do you do it?,neutral,joy,1
12,I don’t know.,neutral,neutral,1
12,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,neutral,1
12,"Yeah, I do.",neutral,joy,1
12,"And Mon, you wanna live with Chandler, don’t ya?",neutral,joy,1
12,Yes.,neutral,joy,1
12,Good! A verbal contract is binding in the state of New York!,joy,joy,1
13,Oh.,neutral,neutral,1
13,"But I don't. Me, Phoebe.",neutral,surprise,1
13,"Well, I'm not I'm not at all surprised they feel that way.",neutral,joy,1
13,"You're not? See, that's why you're so great!",surprise,disgust,1
13,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,disgust,1
13,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,disgust,1
13,Define me!,anger,joy,1
13,"Love me, I need love!",anger,neutral,1
14,Have you really done this before?,surprise,surprise,1
14,Yeah!,joy,joy,1
14,Yeah!,joy,joy,1
14,Yeah!,joy,joy,1
14,"You just take a big, big swing.",neutral,joy,1
14,"Now, don’t hold back.",neutral,neutral,1
14,Hey!,joy,joy,1
14,Hey-hey-hey!,joy,joy,1
14,What are you doing?,neutral,joy,1
14,We’re just celebrating that Joey got his health insurance back.,joy,joy,1
14,"Oh, all right.",neutral,joy,1
15,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",joy,fear,1
15,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,joy,fear,1
15,Okay!,joy,neutral,1
15,Bye!,neutral,neutral,1
15,Bye!,neutral,neutral,1
15,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger,anger,1
16,"Hey, Joey, could you pass the cheese?",neutral,disgust,1
16,"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral,anger,1
16,"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral,anger,1
16,"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral,neutral,1
16,There’s like-there’s like 300 bucks in this one!,surprise,joy,1
16,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,joy,1
16,Could the waiters gather around to hear tonight’s specials?,neutral,joy,1
16,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral,joy,1
16,Because we can remember them.,neutral,neutral,1
16,Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,anger,1
17,Hey. When you guys were kids and you played,neutral,fear,1
17,I was always Joanne.,neutral,fear,1
17,"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral,neutral,1
17,Ewww! Oh! It’s the Mattress King!,disgust,neutral,1
17,Don’t look honey. Change the channel! Change the channel!,disgust,neutral,1
17,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,neutral,1
17,What a wank!,anger,neutral,1
17,"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger,neutral,1
17,I know!,anger,neutral,1
17,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,anger,1
17,And I’m appalled for you by the way.,anger,anger,1
17,"You had to do it, didn’t you? You couldn’t just leave it alone.",sadness,joy,1
17,Four percent. Okay. I tip more than that when there’s a bug in my food.,disgust,sadness,1
17,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,sadness,1
17,"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,anger,1
17,"Hey Pheebs, what are you doing?",neutral,anger,1
17,"I’m, I’m freaking out!",fear,neutral,1
17,Monica kinda trusted me with something and she shouldn’t have!,fear,neutral,1
17,"All right, I haven’t lived here in a while, so I have to ask you something.",neutral,neutral,1
17,Does Monica still turn on the lights in her bedroom?,neutral,neutral,1
17,Um. yeah.,neutral,disgust,1
17,I am,neutral,anger,1
17,"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral,joy,1
17,"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral,anger,1
17,"Look, honey, I have tried to make nice, it doesn’t work.",anger,disgust,1
17,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,neutral,1
17,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,neutral,1
17,Like me tiny doctor!’,anger,sadness,1
17,"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,anger,1
17,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger,disgust,1
17,"Okay, well you are just gonna have too, okay.",anger,neutral,1
17,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger,disgust,1
17,"Okay, okay, okay.  I’ll get the bagels.",neutral,neutral,1
18,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral,joy,1
18,"All right, then you'd better show me some of that too then.",neutral,neutral,1
18,"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral,neutral,1
19,Really? A purse?,surprise,surprise,1
20,It's not a purse! It's a shoulder bag.,anger,disgust,1
20,It looks like a women's purse.,neutral,joy,1
20,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,joy,1
20,"See look,",neutral,surprise,1
20,Exactly! Unisex!,neutral,neutral,1
20,Maybe you need sex.,neutral,disgust,1
20,No! No Joey! U-N-I-sex.,joy,neutral,1
20,"Well, I ain't gonna say no to that.",neutral,neutral,1
21,"So, um, have you told your parents?",neutral,sadness,1
21,"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral,joy,1
21,Here you go.,neutral,neutral,1
21,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral,fear,1
21,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",sadness,neutral,1
21,I love you Phoebe.,joy,neutral,1
21,So your brother's straigh huh? Seriously.,surprise,sadness,1
22,Hey!,joy,sadness,1
22,Hi.,neutral,sadness,1
22,"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral,sadness,1
22,"Yeah, it did.",joy,sadness,1
22,"So, I guess this is over.",sadness,sadness,1
22,What?,neutral,sadness,1
22,"Well, y'know, you and me, it had to end sometime.",sadness,sadness,1
22,"Why, exactly?",surprise,surprise,1
22,"Because of the weekend, we had a fight.",sadness,surprise,1
22,Chandler that's crazy!,surprise,surprise,1
22,If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger,joy,1
22,"So, this isn't over?",neutral,neutral,1
22,You are so cute!,joy,anger,1
22,No.,joy,anger,1
